Temperature,MidTemp,M.E_full,M.D_NoCorr,MBase,M.A_comp,M.B_fluct
1,24,1.3088279641430722,1.2948760447440832,16.20487376862244,1.4538625436622288,14.392024543353427
1,24,1.1507962251331838,1.1384788628617786,18.301354427430923,1.279188615319268,16.268882860282606
1,24,2.2693310530439312,2.2477415725529863,14.173069287768842,2.2605919250191033,12.689844625611462
1,24,2.1121742294736108,2.0973315819747538,16.20739737460167,2.212960441999122,14.805747386257716
1,24,2.3259866521108856,2.3054827608607313,15.029381931384988,2.4483604489203157,13.631547632124533
1,24,2.9013447392575267,2.884100229834134,15.911104537766514,2.7437503112042734,14.786208153403203
1,24,1.5781613724475632,1.5713246082264751,17.49410178196112,1.697825701835025,16.163730444359786
1,24,1.9110856828093399,1.8929547185798619,20.53864840609581,2.0328649106547863,18.480364212075767
1,24,1.7060326868899232,1.6893831085825233,18.695613912838844,1.8516841588098443,16.73724874960054
1,24,1.7708918267151588,1.7624821673197615,19.789691119963987,1.867485454582981,18.26660054441641
1,24,2.7075550457757562,2.684065556220722,16.229455657631767,2.960411719754653,14.704233524771755
1,24,3.1079905432733335,3.081118306656323,15.269188863282778,2.9601706254492197,13.748112248272948
1,24,1.8790487801899196,1.8721831550122499,19.960601544481435,2.0047619315621925,18.612197197164182
1,24,2.666399849723066,2.6550993048607676,16.93396197906593,2.69527544138907,15.694626272316153
1,24,1.593873383315565,1.5723494246753118,16.088456602445323,1.7625509416947676,14.13009836263588
1,24,0.8910197713403443,0.8830562248814241,15.74393560353461,0.9607117865094444,14.276824730242398
1,24,1.4025337026056341,1.3871961931341814,17.00512358501611,1.5401750417631674,15.02057400765941
1,24,1.9363042511367914,1.9305102726667456,15.22617406770075,2.05247790409836,14.309413983097967
1,24,2.7564702022961463,2.7428641039658594,14.372369832203793,2.728984967422517,13.397185401295584
1,24,2.1131895609083644,2.089836088687592,17.136454682912987,2.2240892552328866,15.13945713047337
1,24,2.6833758654727977,2.647198066130561,15.78046331404239,3.02198533170377,13.73282140086903
1,24,2.4444036131869016,2.4222023993767814,16.64376926670433,2.6502561500463644,14.958082205191099
1,24,2.197465270930932,2.18093999189301,15.640518382264457,2.153077488350376,14.194723178441958
1,24,3.643348907007411,3.6195811327618888,14.447929559368593,3.64747864105901,13.176165055875462
1,24,2.331674548230364,2.326538359935395,14.734916176432426,2.3316768300323263,13.980264349430144
1,24,2.6497825967560376,2.634069280517278,18.178720820369488,2.8652660767491445,16.69987044085381
1,24,2.557032570357865,2.546229051619436,14.536429596154516,2.6027852506904634,13.482033310206495
1,24,1.5572730332966542,1.5516830080552977,19.47661006562984,1.669622557794566,18.063081960381073
1,24,2.0418853470428835,2.0319193213062765,21.210291442880322,2.100447052051042,19.724258880339995
1,24,1.3321671892358757,1.31453154090952,16.68221428606801,1.495981648080655,14.61267822119854
1,24,2.1890820452606765,2.1870247466100707,17.668524554402346,2.3283590201077815,16.598251671561606
1,24,2.124709984352511,2.1134782257141156,13.481917542334953,2.264291766105227,12.456361489887467
1,24,1.568694494483224,1.5671395460948454,17.131209597368418,1.5342885663461499,16.22608869106762
1,24,3.0229430218246804,3.0206198561483046,16.64534438632116,3.0968221065549995,15.664187132359205
1,24,2.4641982409128027,2.460995611074965,17.22319252972938,2.5970292922165132,16.18946905578215
1,24,3.4692394784597784,3.4518281921489593,17.98360342392779,3.724540289874146,16.67641879714891
1,24,3.4139155911639385,3.3960480375843574,15.001007575430744,3.6221159112638497,13.913835050923174
1,24,4.852931459911274,4.8567585797302,21.44455767910606,3.365367019618256,20.30659164415455
1,24,2.574561897354363,2.548872724280898,15.545680688411887,2.800764134468782,13.910188768294802
1,24,1.730858450001221,1.7281481863589137,15.35007020671875,1.8541790219727152,14.27678057129582
1,24,1.9169298880116281,1.9075913821401322,16.70100681162019,2.050297515686806,15.393627190363922
1,24,2.5923058631858233,2.582886758056885,16.168398346553627,2.4888234081687886,14.99360064129944
1,24,1.6762280360602895,1.668683590092659,17.675305936048645,1.7899041621915135,16.376173659197384
1,24,2.3954118028583746,2.3629489333658347,17.46281471141502,2.4311823600852827,15.146198328539962
1,24,2.1454620067741415,2.1136056688216573,14.436021750731092,2.390401357358301,12.436986155354896
1,24,2.08803877273039,2.07573748287006,18.146226980934095,2.2014790058829092,16.71320794241542
1,24,2.1726122908130208,2.1518206460697282,14.719299652085153,2.396254973898108,13.186760904604405
1,24,1.8590814691100859,1.8447383246830675,18.700555166499942,2.0075027402403633,17.024134329326575
1,24,1.7238523351779649,1.7071327217921568,13.35050526596725,1.8879312775230184,12.015875279297438
1,24,2.9482039729688454,2.9389509418457402,19.886679693851725,2.9815356226669656,18.52991173053827
1,24,3.9817617333179456,3.9626796771055224,20.13729623024259,4.293403632617324,18.495254404130748
1,24,1.5525982592727248,1.5392153987354458,16.815336315884196,1.6800078791321178,15.242451412288986
1,24,3.0553865476294604,3.053519938388587,20.111050178254423,3.022520300819788,19.10823834672779
1,24,1.4228121231139392,1.4215402410230238,16.067029175787734,1.4742216564650343,15.123703482924205
1,24,3.5857630389178756,3.5382245770518037,13.986466599276849,4.04238222517222,12.252762393726849
1,24,2.3369655380651424,2.331991722808568,22.041314621406503,2.285101586493061,20.6154205055588
1,24,2.3086004618791223,2.2970186816923843,17.12949947681288,2.458945696209866,15.88415898434244
1,24,3.587502741849421,3.575758711248504,18.179695857836986,3.7904882272888543,16.9356123956129
1,24,2.3937207916171332,2.3759060637294813,17.115180612945913,2.606000525729188,15.606965589866405
1,24,3.4622976150668667,3.4464586274830333,16.744796598224845,3.740504490636759,15.434867966550689
1,24,2.5538275278513054,2.537422112864403,19.230734582815458,2.7000478381010447,17.69860328399232
1,24,1.8075717019179092,1.7789482032633945,16.524244053094797,2.0573775012239484,14.084029961119889
1,24,1.18371685764287,1.1663210553653964,13.764764016052258,1.3380542634675838,11.905933423813421
1,24,2.2627195222876795,2.2520275782254777,19.128711421822718,2.39350941053641,17.768116018041447
1,24,2.6875394566310833,2.6697376700107367,17.474354997835285,2.829051712926353,16.084485088109076
1,24,2.0574667284432477,2.042370003880413,15.070579489014971,2.217875518381724,13.714416719843483
1,24,1.5924136333933259,1.5848541256511346,15.402492289990226,1.6648636098506047,14.284141300701584
1,24,1.6705620148555038,1.6584705801468018,16.541174043702362,1.7761521337254182,15.021805178133883
1,24,1.3367544012502148,1.3235471735849658,13.43640520835963,1.4491198834838126,12.097101120028965
1,24,1.9874666965787189,1.9700198865002074,19.081359899567172,2.187836359838541,17.1591353072612
1,24,1.6885890853362713,1.6685463350883145,14.565314759163314,1.85944578916049,12.818177905151074
1,24,2.3147647450843443,2.2991311665832552,14.57016065276861,2.4495237852742098,13.346048348935076
1,24,1.2640410177195314,1.248927222590768,16.43619873018162,1.3960008207675048,14.531402037969016
1,24,1.4257025895153983,1.4050966462200345,14.727920297236562,1.5792796953927832,12.694735873187915
1,24,2.034747093333018,2.0284577039309526,18.949299977135276,2.086005824574912,17.76387397030383
1,24,2.2676061063953465,2.2413108965315143,20.415235648268446,2.472012378877536,18.066309542158102
1,24,4.184380282285348,4.174142641428593,17.194498165414117,4.307328029612974,16.071003729527906
1,24,2.2960294417625815,2.2938984806931404,19.665934409900082,2.413553026973652,18.57917832700824
1,24,2.5012479518889985,2.484072321946918,18.358385577383007,2.4715391219214817,16.815967546379618
1,24,1.6759519890976868,1.6605976080991576,14.367488732466688,1.7631578309594351,12.904450098815746
