LINE_ID,PrevTemp,GenNum,Prev_PAL_FEMALE,PAL_FEMALE,Prev_PAN_FEMALE,PAN_FEMALE,Prev_PAL_FEMALE_comp,Prev_PAN_FEMALE_comp,Temp20
C_S_R15,27.2,10,0,0,11,6,0,10,7.199999999999999
C_S_R16,24.4,3,26,2,9,0,25,8,4.399999999999999
C_S_R16,25.2,5,11,7,4,1,10,3,5.199999999999999
C_S_R16,25.6,6,7,14,1,9,6,0,5.600000000000001
C_S_R16,26,7,14,0,9,0,13,8,6
C_S_R17,24.4,3,34,30,9,0,33,8,4.399999999999999
C_S_R17,25.2,5,16,38,4,0,15,3,5.199999999999999
C_S_R17,26.8,9,11,1,4,0,10,3,6.800000000000001
C_S_R18,24.4,3,36,22,11,1,35,10,4.399999999999999
C_S_R18,24.8,4,22,41,1,0,21,0,4.800000000000001
C_S_R18,25.2,5,41,23,3,0,40,2,5.199999999999999
C_S_R19,24.4,3,24,0,7,0,23,6,4.399999999999999
C_S_R19,25.2,5,0,0,4,13,0,3,5.199999999999999
C_S_R19,25.6,6,0,0,13,32,0,12,5.600000000000001
C_S_R19,26,7,0,0,32,0,0,31,6
C_S_R2,24.4,3,26,0,8,0,25,7,4.399999999999999
C_S_R2,25.2,5,0,0,3,1,0,2,5.199999999999999
C_S_R2,25.6,6,0,0,1,18,0,0,5.600000000000001
C_S_R2,26,7,0,0,18,2,0,17,6
C_S_R2,26.4,8,0,0,2,0,0,1,6.399999999999999
C_S_R2,26.8,9,0,0,5,5,0,4,6.800000000000001
C_S_R2,27.2,10,0,0,5,14,0,4,7.199999999999999
C_S_R20,24.4,3,32,32,6,0,31,5,4.399999999999999
C_S_R20,25.2,5,34,39,4,0,33,3,5.199999999999999
C_S_R20,26.8,9,20,1,4,0,19,3,6.800000000000001
C_S_R21,24.4,3,32,16,13,7,31,12,4.399999999999999
C_S_R21,24.8,4,16,34,7,0,15,6,4.800000000000001
C_S_R21,25.2,5,34,2,3,5,33,2,5.199999999999999
C_S_R21,25.6,6,2,8,5,38,1,4,5.600000000000001
C_S_R21,26,7,8,0,38,21,7,37,6
C_S_R21,26.4,8,0,0,21,65,0,20,6.399999999999999
C_S_R21,26.8,9,0,0,71,41,0,70,6.800000000000001
C_S_R21,27.2,10,0,0,41,29,0,40,7.199999999999999
C_S_R22,24.4,3,9,1,7,0,8,6,4.399999999999999
C_S_R22,25.2,5,22,18,4,1,21,3,5.199999999999999
C_S_R22,25.6,6,18,7,1,0,17,0,5.600000000000001
C_S_R22,26.8,9,13,0,4,7,12,3,6.800000000000001
C_S_R22,27.2,10,0,0,7,44,0,6,7.199999999999999
C_S_R23,24.4,3,20,36,14,1,19,13,4.399999999999999
C_S_R23,24.8,4,36,22,1,0,35,0,4.800000000000001
C_S_R23,25.2,5,22,19,5,4,21,4,5.199999999999999
C_S_R23,25.6,6,19,39,4,10,18,3,5.600000000000001
C_S_R23,26,7,39,5,10,12,38,9,6
C_S_R23,26.4,8,5,8,12,34,4,11,6.399999999999999
C_S_R23,26.8,9,8,0,40,39,7,39,6.800000000000001
C_S_R23,27.2,10,0,0,39,29,0,38,7.199999999999999
C_S_R24,24.4,3,37,24,8,0,36,7,4.399999999999999
C_S_R24,25.2,5,5,38,4,8,4,3,5.199999999999999
C_S_R24,25.6,6,38,15,8,0,37,7,5.600000000000001
C_S_R24,26.8,9,9,2,4,18,8,3,6.800000000000001
C_S_R24,27.2,10,2,0,18,45,1,17,7.199999999999999
C_S_R25,24.4,3,30,0,7,0,29,6,4.399999999999999
C_S_R25,25.2,5,0,0,3,0,0,2,5.199999999999999
C_S_R26,24.4,3,29,0,10,0,28,9,4.399999999999999
C_S_R26,25.2,5,0,0,4,2,0,3,5.199999999999999
C_S_R26,25.6,6,0,0,2,13,0,1,5.600000000000001
C_S_R26,26,7,0,0,13,12,0,12,6
C_S_R26,26.4,8,0,0,12,26,0,11,6.399999999999999
C_S_R26,26.8,9,0,0,32,35,0,31,6.800000000000001
C_S_R26,27.2,10,0,0,35,21,0,34,7.199999999999999
C_S_R27,24.4,3,22,0,6,0,21,5,4.399999999999999
C_S_R27,25.2,5,0,0,4,34,0,3,5.199999999999999
C_S_R27,25.6,6,0,0,34,68,0,33,5.600000000000001
C_S_R27,26,7,0,0,68,14,0,67,6
C_S_R27,26.4,8,0,0,14,41,0,13,6.399999999999999
C_S_R27,26.8,9,0,0,47,47,0,46,6.800000000000001
C_S_R27,27.2,10,0,0,47,19,0,46,7.199999999999999
C_S_R28,24.4,3,22,0,9,0,21,8,4.399999999999999
C_S_R28,25.2,5,0,0,4,12,0,3,5.199999999999999
C_S_R28,25.6,6,0,0,12,75,0,11,5.600000000000001
C_S_R28,26,7,0,0,75,54,0,74,6
C_S_R28,26.4,8,0,0,54,26,0,53,6.399999999999999
C_S_R28,26.8,9,0,0,32,33,0,31,6.800000000000001
C_S_R28,27.2,10,0,0,33,40,0,32,7.199999999999999
C_S_R29,24.4,3,21,0,8,0,20,7,4.399999999999999
C_S_R29,25.2,5,0,0,4,5,0,3,5.199999999999999
C_S_R29,25.6,6,0,0,5,0,0,4,5.600000000000001
C_S_R3,24.4,3,17,18,7,0,16,6,4.399999999999999
C_S_R3,25.2,5,40,4,4,7,39,3,5.199999999999999
C_S_R3,25.6,6,4,16,7,28,3,6,5.600000000000001
C_S_R3,26,7,16,0,28,6,15,27,6
C_S_R3,26.4,8,0,0,6,34,0,5,6.399999999999999
C_S_R3,26.8,9,0,0,40,35,0,39,6.800000000000001
C_S_R3,27.2,10,0,0,35,20,0,34,7.199999999999999
C_S_R30,24.4,3,17,0,9,0,16,8,4.399999999999999
C_S_R30,25.2,5,0,0,4,19,0,3,5.199999999999999
C_S_R30,25.6,6,0,0,19,76,0,18,5.600000000000001
C_S_R30,26,7,0,0,76,65,0,75,6
C_S_R30,26.4,8,0,0,65,46,0,64,6.399999999999999
C_S_R30,26.8,9,0,0,52,47,0,51,6.800000000000001
C_S_R30,27.2,10,0,0,47,33,0,46,7.199999999999999
C_S_R31,24.4,3,45,47,8,0,44,7,4.399999999999999
C_S_R31,25.2,5,11,28,4,2,10,3,5.199999999999999
C_S_R31,25.6,6,28,20,2,0,27,1,5.600000000000001
C_S_R31,26.8,9,1,0,4,13,0,3,6.800000000000001
C_S_R31,27.2,10,0,0,13,69,0,12,7.199999999999999
C_S_R32,24.4,3,39,2,10,0,38,9,4.399999999999999
C_S_R32,25.2,5,0,0,4,0,0,3,5.199999999999999
C_S_R33,24.4,3,39,0,10,0,38,9,4.399999999999999
C_S_R33,25.2,5,0,0,4,3,0,3,5.199999999999999
C_S_R33,25.6,6,0,0,3,3,0,2,5.600000000000001
C_S_R33,26,7,0,0,3,31,0,2,6
C_S_R33,26.4,8,0,0,31,18,0,30,6.399999999999999
C_S_R33,26.8,9,0,0,24,7,0,23,6.800000000000001
C_S_R33,27.2,10,0,0,7,4,0,6,7.199999999999999
C_S_R34,24.4,3,24,43,8,0,23,7,4.399999999999999
C_S_R34,25.2,5,3,18,4,1,2,3,5.199999999999999
C_S_R34,25.6,6,18,19,1,0,17,0,5.600000000000001
C_S_R34,26.8,9,37,8,4,8,36,3,6.800000000000001
C_S_R34,27.2,10,8,1,8,35,7,7,7.199999999999999
C_S_R35,24.4,3,35,4,12,2,34,11,4.399999999999999
C_S_R35,24.8,4,4,31,2,2,3,1,4.800000000000001
C_S_R35,25.2,5,31,18,8,20,30,7,5.199999999999999
C_S_R35,25.6,6,18,0,20,20,17,19,5.600000000000001
C_S_R35,26,7,0,0,20,54,0,19,6
C_S_R35,26.4,8,0,0,54,25,0,53,6.399999999999999
C_S_R35,26.8,9,0,0,31,29,0,30,6.800000000000001
C_S_R35,27.2,10,0,0,29,55,0,28,7.199999999999999
C_S_R36,24.4,3,32,0,8,0,31,7,4.399999999999999
C_S_R36,25.2,5,0,0,4,0,0,3,5.199999999999999
C_S_R37,24.4,3,36,21,10,1,35,9,4.399999999999999
C_S_R37,24.8,4,21,46,1,0,20,0,4.800000000000001
C_S_R37,25.2,5,46,19,3,2,45,2,5.199999999999999
C_S_R37,25.6,6,19,28,2,12,18,1,5.600000000000001
C_S_R37,26,7,28,0,12,33,27,11,6
C_S_R37,26.4,8,0,0,33,59,0,32,6.399999999999999
C_S_R37,26.8,9,0,0,65,52,0,64,6.800000000000001
C_S_R37,27.2,10,0,0,52,65,0,51,7.199999999999999
C_S_R38,24.4,3,39,17,8,0,38,7,4.399999999999999
C_S_R38,25.2,5,18,4,4,1,17,3,5.199999999999999
C_S_R38,25.6,6,4,0,1,0,3,0,5.600000000000001
C_S_R39,24.4,3,32,21,7,2,31,6,4.399999999999999
C_S_R39,24.8,4,21,25,2,0,20,1,4.800000000000001
C_S_R39,25.2,5,25,36,4,0,24,3,5.199999999999999
C_S_R4,24.4,3,38,20,7,1,37,6,4.399999999999999
C_S_R4,24.8,4,20,25,1,0,19,0,4.800000000000001
C_S_R4,25.2,5,25,25,3,0,24,2,5.199999999999999
C_S_R40,24.4,3,30,13,9,0,29,8,4.399999999999999
C_S_R40,25.2,5,18,42,4,0,17,3,5.199999999999999
C_S_R40,26.8,9,20,1,4,0,19,3,6.800000000000001
C_S_R41,24.4,3,42,19,10,3,41,9,4.399999999999999
C_S_R41,24.8,4,19,33,3,0,18,2,4.800000000000001
C_S_R41,25.2,5,33,16,4,3,32,3,5.199999999999999
C_S_R41,25.6,6,16,22,3,2,15,2,5.600000000000001
C_S_R41,26,7,22,0,2,0,21,1,6
C_S_R42,24.4,3,19,27,8,0,18,7,4.399999999999999
C_S_R42,25.2,5,33,44,4,0,32,3,5.199999999999999
C_S_R42,26.8,9,0,0,4,12,0,3,6.800000000000001
C_S_R42,27.2,10,0,0,12,73,0,11,7.199999999999999
C_S_R43,24.4,3,15,44,6,0,14,5,4.399999999999999
C_S_R43,25.2,5,0,0,4,5,0,3,5.199999999999999
C_S_R43,25.6,6,0,0,5,79,0,4,5.600000000000001
C_S_R43,26,7,0,0,79,15,0,78,6
C_S_R43,26.4,8,0,0,15,47,0,14,6.399999999999999
C_S_R43,26.8,9,0,0,53,51,0,52,6.800000000000001
C_S_R43,27.2,10,0,0,51,52,0,50,7.199999999999999
C_S_R44,24.4,3,36,2,6,0,35,5,4.399999999999999
C_S_R44,25.2,5,3,28,4,3,2,3,5.199999999999999
C_S_R44,25.6,6,28,10,3,0,27,2,5.600000000000001
C_S_R45,24.4,3,35,1,6,1,34,5,4.399999999999999
C_S_R45,24.8,4,1,0,1,0,0,0,4.800000000000001
C_S_R45,25.2,5,0,0,4,6,0,3,5.199999999999999
C_S_R45,25.6,6,0,0,6,52,0,5,5.600000000000001
C_S_R45,26,7,0,0,52,27,0,51,6
C_S_R45,26.4,8,0,0,27,40,0,26,6.399999999999999
C_S_R45,26.8,9,0,0,46,42,0,45,6.800000000000001
C_S_R45,27.2,10,0,0,42,42,0,41,7.199999999999999
C_S_R46,24.4,3,33,28,9,0,32,8,4.399999999999999
C_S_R46,25.2,5,0,0,4,23,0,3,5.199999999999999
C_S_R46,25.6,6,0,0,23,3,0,22,5.600000000000001
C_S_R46,26,7,0,0,3,5,0,2,6
C_S_R46,26.4,8,0,0,5,61,0,4,6.399999999999999
C_S_R46,26.8,9,0,0,67,69,0,66,6.800000000000001
C_S_R46,27.2,10,0,0,69,25,0,68,7.199999999999999
C_S_R47,24.4,3,43,20,8,0,42,7,4.399999999999999
C_S_R47,25.2,5,9,5,4,2,8,3,5.199999999999999
C_S_R47,25.6,6,5,22,2,0,4,1,5.600000000000001
C_S_R48,24.4,3,36,15,7,0,35,6,4.399999999999999
C_S_R48,25.2,5,0,0,4,0,0,3,5.199999999999999
C_S_R49,24.4,3,35,2,10,0,34,9,4.399999999999999
C_S_R49,25.2,5,12,16,4,0,11,3,5.199999999999999
C_S_R5,24.4,3,27,28,8,0,26,7,4.399999999999999
C_S_R5,25.2,5,1,9,4,7,0,3,5.199999999999999
C_S_R5,25.6,6,9,0,7,5,8,6,5.600000000000001
C_S_R5,26,7,0,0,5,1,0,4,6
C_S_R5,26.4,8,0,0,1,0,0,0,6.399999999999999
C_S_R5,26.8,9,0,0,4,6,0,3,6.800000000000001
C_S_R5,27.2,10,0,0,6,35,0,5,7.199999999999999
C_S_R50,24.4,3,7,0,5,0,6,4,4.399999999999999
C_S_R50,25.2,5,0,0,4,1,0,3,5.199999999999999
C_S_R50,25.6,6,0,0,1,30,0,0,5.600000000000001
C_S_R50,26,7,0,0,30,38,0,29,6
C_S_R50,26.4,8,0,0,38,46,0,37,6.399999999999999
C_S_R50,26.8,9,0,0,52,51,0,51,6.800000000000001
C_S_R50,27.2,10,0,0,51,64,0,50,7.199999999999999
C_S_R51,24.4,3,28,20,11,1,27,10,4.399999999999999
C_S_R51,24.8,4,20,14,1,0,19,0,4.800000000000001
C_S_R51,25.2,5,14,31,4,2,13,3,5.199999999999999
C_S_R51,25.6,6,31,15,2,1,30,1,5.600000000000001
C_S_R51,26,7,15,11,1,0,14,0,6
C_S_R51,26.8,9,3,2,4,4,2,3,6.800000000000001
C_S_R51,27.2,10,2,0,4,21,1,3,7.199999999999999
C_S_R52,24.4,3,10,42,10,0,9,9,4.399999999999999
C_S_R52,25.2,5,15,31,4,0,14,3,5.199999999999999
C_S_R53,24.4,3,41,31,9,0,40,8,4.399999999999999
C_S_R53,25.2,5,0,0,4,5,0,3,5.199999999999999
C_S_R53,25.6,6,0,0,5,63,0,4,5.600000000000001
C_S_R53,26,7,0,0,63,54,0,62,6
C_S_R53,26.4,8,0,0,54,37,0,53,6.399999999999999
C_S_R53,26.8,9,0,0,43,55,0,42,6.800000000000001
C_S_R53,27.2,10,0,0,55,43,0,54,7.199999999999999
C_S_R54,24.4,3,35,25,9,0,34,8,4.399999999999999
C_S_R54,25.2,5,45,13,4,1,44,3,5.199999999999999
C_S_R54,25.6,6,13,31,1,0,12,0,5.600000000000001
C_S_R55,24.4,3,44,36,9,0,43,8,4.399999999999999
C_S_R55,25.2,5,33,23,4,0,32,3,5.199999999999999
C_S_R55,26.8,9,22,4,4,0,21,3,6.800000000000001
C_S_R56,24.4,3,37,18,7,1,36,6,4.399999999999999
C_S_R56,24.8,4,18,2,1,0,17,0,4.800000000000001
C_S_R56,25.2,5,2,33,4,0,1,3,5.199999999999999
C_S_R56,26.8,9,14,12,4,33,13,3,6.800000000000001
C_S_R56,27.2,10,12,0,33,58,11,32,7.199999999999999
C_S_R57,24.4,3,27,31,9,1,26,8,4.399999999999999
C_S_R57,24.8,4,31,5,1,0,30,0,4.800000000000001
C_S_R57,25.2,5,5,1,4,8,4,3,5.199999999999999
C_S_R57,25.6,6,1,0,8,65,0,7,5.600000000000001
C_S_R57,26,7,0,0,65,23,0,64,6
C_S_R57,26.4,8,0,0,23,26,0,22,6.399999999999999
C_S_R57,26.8,9,0,0,32,47,0,31,6.800000000000001
C_S_R57,27.2,10,0,0,47,49,0,46,7.199999999999999
C_S_R58,24.4,3,36,11,8,0,35,7,4.399999999999999
C_S_R58,25.2,5,5,0,4,0,4,3,5.199999999999999
C_S_R59,24.4,3,14,1,8,0,13,7,4.399999999999999
C_S_R59,25.2,5,0,0,4,4,0,3,5.199999999999999
C_S_R59,25.6,6,0,0,4,5,0,3,5.600000000000001
C_S_R59,26,7,0,0,5,17,0,4,6
C_S_R59,26.4,8,0,0,17,40,0,16,6.399999999999999
C_S_R59,26.8,9,0,0,46,46,0,45,6.800000000000001
C_S_R59,27.2,10,0,0,46,36,0,45,7.199999999999999
C_S_R6,24.4,3,33,0,9,0,32,8,4.399999999999999
C_S_R6,25.2,5,0,0,5,1,0,4,5.199999999999999
C_S_R6,25.6,6,0,0,1,0,0,0,5.600000000000001
C_S_R60,24.4,3,16,0,8,0,15,7,4.399999999999999
C_S_R60,25.2,5,0,0,4,16,0,3,5.199999999999999
C_S_R60,25.6,6,0,0,16,60,0,15,5.600000000000001
C_S_R60,26,7,0,0,60,34,0,59,6
C_S_R60,26.4,8,0,0,34,58,0,33,6.399999999999999
C_S_R60,26.8,9,0,0,64,45,0,63,6.800000000000001
C_S_R60,27.2,10,0,0,45,61,0,44,7.199999999999999
C_S_R7,24.4,3,38,0,7,0,37,6,4.399999999999999
C_S_R7,25.2,5,0,0,4,0,0,3,5.199999999999999
C_S_R8,24.4,3,42,34,12,1,41,11,4.399999999999999
C_S_R8,24.8,4,34,12,1,0,33,0,4.800000000000001
C_S_R8,25.2,5,12,39,3,3,11,2,5.199999999999999
C_S_R8,25.6,6,39,9,3,3,38,2,5.600000000000001
C_S_R8,26,7,9,6,3,4,8,2,6
C_S_R8,26.4,8,6,3,4,0,5,3,6.399999999999999
C_S_R8,26.8,9,3,0,6,3,2,5,6.800000000000001
C_S_R8,27.2,10,0,0,3,35,0,2,7.199999999999999
C_S_R9,24.4,3,31,6,6,0,30,5,4.399999999999999
C_S_R9,25.2,5,0,0,4,9,0,3,5.199999999999999
C_S_R9,25.6,6,0,0,9,76,0,8,5.600000000000001
C_S_R9,26,7,0,0,76,50,0,75,6
C_S_R9,26.4,8,0,0,50,46,0,49,6.399999999999999
C_S_R9,26.8,9,0,0,52,40,0,51,6.800000000000001
C_S_R9,27.2,10,0,0,40,36,0,39,7.199999999999999
C_V01_R1,24.4,3,8,18,8,1,7,7,4.399999999999999
C_V01_R1,26.3,4,18,40,1,0,17,0,6.300000000000001
C_V01_R1,23.7,5,40,0,5,4,39,4,3.6999999999999993
C_V01_R1,25.6,6,0,0,4,0,0,3,5.600000000000001
C_V01_R2,24.4,3,16,36,9,0,15,8,4.399999999999999
C_V01_R2,23.7,5,15,10,4,0,14,3,3.6999999999999993
C_V01_R3,24.4,3,30,37,9,3,29,8,4.399999999999999
C_V01_R3,26.3,4,37,22,3,8,36,2,6.300000000000001
C_V01_R3,23.7,5,22,0,14,9,21,13,3.6999999999999993
C_V01_R3,25.6,6,0,0,9,1,0,8,5.600000000000001
C_V01_R3,27.5,7,0,0,1,0,0,0,7.5
C_V01_R4,24.4,3,23,27,9,0,22,8,4.399999999999999
C_V01_R4,23.7,5,20,10,4,0,19,3,3.6999999999999993
C_V01_R4,25.3,9,2,21,4,14,1,3,5.300000000000001
C_V01_R4,28.7,10,21,0,14,8,20,13,8.7
C_V01_R5,24.4,3,45,22,7,0,44,6,4.399999999999999
C_V01_R5,23.7,5,2,30,4,0,1,3,3.6999999999999993
C_V02_R1,25.9,3,14,14,9,0,13,8,5.899999999999999
C_V02_R1,25.2,5,0,0,5,0,0,4,5.199999999999999
C_V02_R2,25.9,3,5,31,7,1,4,6,5.899999999999999
C_V02_R2,23.3,4,31,13,1,0,30,0,3.3000000000000007
C_V02_R2,25.2,5,13,13,4,6,12,3,5.199999999999999
C_V02_R2,24.1,6,13,5,6,28,12,5,4.100000000000001
C_V02_R2,24.5,7,5,0,28,2,4,27,4.5
C_V02_R2,27.9,8,0,0,2,0,0,1,7.899999999999999
C_V02_R3,25.9,3,38,15,11,17,37,10,5.899999999999999
C_V02_R3,23.3,4,15,3,17,36,14,16,3.3000000000000007
C_V02_R3,25.2,5,3,0,42,11,2,41,5.199999999999999
C_V02_R3,24.1,6,0,0,11,44,0,10,4.100000000000001
C_V02_R3,24.5,7,0,0,44,12,0,43,4.5
C_V02_R3,27.9,8,0,0,12,28,0,11,7.899999999999999
C_V02_R3,28.3,9,0,0,34,40,0,33,8.3
C_V02_R3,27.2,10,0,0,40,1,0,39,7.199999999999999
C_V02_R4,25.9,3,36,21,9,1,35,8,5.899999999999999
C_V02_R4,23.3,4,21,14,1,0,20,0,3.3000000000000007
C_V02_R4,25.2,5,14,3,4,5,13,3,5.199999999999999
C_V02_R4,24.1,6,3,12,5,19,2,4,4.100000000000001
C_V02_R4,24.5,7,12,0,19,0,11,18,4.5
C_V02_R5,25.9,3,42,30,10,1,41,9,5.899999999999999
C_V02_R5,23.3,4,30,28,1,0,29,0,3.3000000000000007
C_V02_R5,25.2,5,28,18,4,0,27,3,5.199999999999999
C_V02_R5,28.3,9,4,0,4,31,3,3,8.3
C_V02_R5,27.2,10,0,0,31,37,0,30,7.199999999999999
C_V03_R1,25.9,3,9,7,8,9,8,7,5.899999999999999
C_V03_R1,23.3,4,7,4,9,14,6,8,3.3000000000000007
C_V03_R1,25.2,5,4,7,20,9,3,19,5.199999999999999
C_V03_R1,24.1,6,7,13,9,22,6,8,4.100000000000001
C_V03_R1,26,7,13,0,22,1,12,21,6
C_V03_R1,27.9,8,0,0,1,0,0,0,7.899999999999999
C_V03_R2,25.9,3,15,4,10,14,14,9,5.899999999999999
C_V03_R2,23.3,4,4,2,14,17,3,13,3.3000000000000007
C_V03_R2,25.2,5,2,0,23,10,1,22,5.199999999999999
C_V03_R2,24.1,6,0,0,10,28,0,9,4.100000000000001
C_V03_R2,26,7,0,0,28,0,0,27,6
C_V03_R3,25.9,3,33,20,13,16,32,12,5.899999999999999
C_V03_R3,23.3,4,20,5,16,7,19,15,3.3000000000000007
C_V03_R3,25.2,5,5,0,13,0,4,12,5.199999999999999
C_V03_R4,25.9,3,19,23,9,0,18,8,5.899999999999999
C_V03_R4,25.2,5,23,16,4,0,22,3,5.199999999999999
C_V03_R5,25.9,3,21,7,10,3,20,9,5.899999999999999
C_V03_R5,23.3,4,7,30,3,0,6,2,3.3000000000000007
C_V03_R5,25.2,5,30,0,4,0,29,3,5.199999999999999
C_V04_R1,25.9,3,6,0,8,5,5,7,5.899999999999999
C_V04_R1,23.3,4,0,0,5,25,0,4,3.3000000000000007
C_V04_R1,23.7,5,0,0,31,18,0,30,3.6999999999999993
C_V04_R1,27.1,6,0,0,18,1,0,17,7.100000000000001
C_V04_R1,26,7,0,0,1,0,0,0,6
C_V04_R2,25.9,3,1,0,10,4,0,9,5.899999999999999
C_V04_R2,23.3,4,0,0,4,58,0,3,3.3000000000000007
C_V04_R2,23.7,5,0,0,64,0,0,63,3.6999999999999993
C_V04_R3,25.9,3,34,27,8,2,33,7,5.899999999999999
C_V04_R3,23.3,4,27,10,2,9,26,1,3.3000000000000007
C_V04_R3,23.7,5,10,8,15,5,9,14,3.6999999999999993
C_V04_R3,27.1,6,8,0,5,0,7,4,7.100000000000001
C_V04_R4,25.9,3,10,0,6,2,9,5,5.899999999999999
C_V04_R4,23.3,4,0,0,2,0,0,1,3.3000000000000007
C_V04_R4,23.7,5,0,0,4,4,0,3,3.6999999999999993
C_V04_R4,27.1,6,0,0,4,39,0,3,7.100000000000001
C_V04_R4,26,7,0,0,39,44,0,38,6
C_V04_R4,26.4,8,0,0,44,54,0,43,6.399999999999999
C_V04_R4,25.3,9,0,0,60,66,0,59,5.300000000000001
C_V04_R4,25.7,10,0,0,66,25,0,65,5.699999999999999
C_V04_R5,25.9,3,3,0,8,1,2,7,5.899999999999999
C_V04_R5,23.3,4,0,0,1,0,0,0,3.3000000000000007
C_V04_R5,23.7,5,0,0,4,6,0,3,3.6999999999999993
C_V04_R5,27.1,6,0,0,6,37,0,5,7.100000000000001
C_V04_R5,26,7,0,0,37,58,0,36,6
C_V04_R5,26.4,8,0,0,58,38,0,57,6.399999999999999
C_V04_R5,25.3,9,0,0,44,58,0,43,5.300000000000001
C_V04_R5,25.7,10,0,0,58,35,0,57,5.699999999999999
C_V05_R1,22.9,3,0,0,10,3,0,9,2.8999999999999986
C_V05_R1,26.3,4,0,0,3,11,0,2,6.300000000000001
C_V05_R1,23.7,5,0,0,17,27,0,16,3.6999999999999993
C_V05_R1,27.1,6,0,0,27,5,0,26,7.100000000000001
C_V05_R1,27.5,7,0,0,5,14,0,4,7.5
C_V05_R1,26.4,8,0,0,14,31,0,13,6.399999999999999
C_V05_R1,28.3,9,0,0,37,56,0,36,8.3
C_V05_R1,27.2,10,0,0,56,0,0,55,7.199999999999999
C_V05_R2,22.9,3,0,0,7,1,0,6,2.8999999999999986
C_V05_R2,26.3,4,0,0,1,0,0,0,6.300000000000001
C_V05_R2,23.7,5,0,0,4,0,0,3,3.6999999999999993
C_V05_R3,22.9,3,9,18,10,0,8,9,2.8999999999999986
C_V05_R3,23.7,5,7,22,4,0,6,3,3.6999999999999993
C_V05_R4,22.9,3,4,20,9,0,3,8,2.8999999999999986
C_V05_R4,23.7,5,17,31,4,0,16,3,3.6999999999999993
C_V05_R5,22.9,3,7,3,11,12,6,10,2.8999999999999986
C_V05_R5,26.3,4,3,0,12,7,2,11,6.300000000000001
C_V05_R5,23.7,5,0,0,13,43,0,12,3.6999999999999993
C_V05_R5,27.1,6,0,0,43,17,0,42,7.100000000000001
C_V05_R5,27.5,7,0,0,17,42,0,16,7.5
C_V05_R5,26.4,8,0,0,42,50,0,41,6.399999999999999
C_V05_R5,28.3,9,0,0,56,26,0,55,8.3
C_V05_R5,27.2,10,0,0,26,22,0,25,7.199999999999999
C_V06_R1,22.9,3,12,8,7,0,11,6,2.8999999999999986
C_V06_R1,26.7,5,25,31,4,1,24,3,6.699999999999999
C_V06_R1,24.1,6,31,15,1,6,30,0,4.100000000000001
C_V06_R1,26,7,15,0,6,10,14,5,6
C_V06_R1,24.9,8,0,0,10,35,0,9,4.899999999999999
C_V06_R1,28.3,9,0,0,41,16,0,40,8.3
